"CustomerID","Item","Comment","Label",""
"1","Apple","So fresh","1",""
"2","Apple","good product","1",""
"3","Apple","very lively","1",""
"4","Apple","straight from the farm","1",""
"5","Apple","great quality","1",""
"6","Apple","did""nt expect to be this good","1",""
"7","Apple","nice","1",""
"8","Apple","cheap and best","1",""
"9","Apple","amazing product","1",""
"10","Apple","quality is very great","1",""
"11","Apple","very red ","1",""
"12","Apple","super taste","1",""
"13","Apple","sweet","1",""
"14","Apple","looks like simla ones","1",""
"15","Apple","not good as thought","-1",""
"16","Apple","bad quality","-1",""
"17","Apple","rotten ","-1",""
"18","Apple","as soon i opened it,i confirmed as worst","-1",""
"19","Apple","not good ","-1",""
"20","Apple","exhausted","-1",""
"21","Apple","the quantity is bad","-1",""
"22","Apple","did'nt expect this","-1",""
"23","Apple","yak","-1",""
"24","Apple","i was wondering why i ordered these","-1",""
"25","Apple","ain't as good as it thought but adjustable","0",""
"26","Apple","not bad not good","0",""
"27","Apple","ok ","0",""
"28","Apple","fine","0",""
"29","Apple","not so fresh","-1",""
"30","Apple","the quality is disgusting","-1",""
"31","Apple","the difference is unpredictable","-1",""
"32","Apple","just okay,as i thought","-1",""
"33","Apple","wow","1",""
"34","Apple","the quality was average ","0",""
"35","Apple","neither good,nor bad","0",""
"36","Apple","ok-ish thats all","0",""
"37","Apple","just simple size","0",""
"38","Apple","same as we can buy outside","0",""
"39","Apple","compromisable ","0",""
"40","Apple","high in taste!","1",""
"41","Apple","very great","1",""
"42","Apple","Fresh","1",""
"43","Apple","my kids enjoyed it ","1",""
"44","Apple","very digestable","1",""
"45","Apple","all credits to big basket","1",""
"46","Apple","didnt disappoint me ","1",""
"47","Apple","very red ","1",""
"48","Apple","i served them to guests,they felt good","1",""
"49","Apple","superb","1",""
"50","Apple","no regards","1",""
"51","Apple","worst taste","-1",""
"52","Apple","i decided not to buy again","-1",""
"53","Apple","don.t ever buy from here","-1",""
"54","Apple","i felt that they were stolen","-1",""
"55","Apple","recieved,stolen ones","-1",""
"56","Apple","they smell horrible","-1",""
"57","Apple","half of them are bad","-1",""
"58","Apple","bad quality","-1",""
"59","Apple","Only packing was good.Received rotten apples.","-1",""
"60","Apple","too much wax","-1",""
"61","Apple","It's very tasty","1",""
"62","Apple","Best","1",""
"63","Apple","Love these fresh crunchy juicy apples","1",""
"64","Apple","Apple were Fresh","1",""
"65","Apple","Hygine","1",""
"66","Apple","Product is fresh and tastes good!","1",""
"67","Apple","good product","1",""
"68","Apple","Well Test!","1",""
"69","Apple","Delicious fruit.","1",""
"70","Apple","thanks to amazon...","1",""
"71","Apple","another day would be disappointing","-1",""
"72","Apple","Very bad quality apples","-1",""
"73","Apple","Just tried one piece and is not good.","-1",""
"74","Apple","2 out of 4 found bad and thrown away.","-1",""
"75","Apple","Very costly as compared with market rate","-1",""
"76","Apple","Not good quality","-1",""
"77","Apple","Request distributors to be careful while selecting the apples for delivery","0",""
"78","Apple","Colour was good outside , but taste was not expected","0",""
"79","Apple","Not so fresh, dented too.","-1",""
"80","Apple","almost double as compared to market rate","-1",""
"81","Apple","Hard ones","-1",""
"82","Apple","Ok","0",""
"83","Apple","Wasn't value for money as it came as rotten","-1",""
"84","Apple","Look nice but very soft from inside.","0",""
"85","Apple","Like it","0",""
"86","Apple","Good","0",""
"87","Apple","Not up mark .. just normal apple","0",""
"88","Apple","Not bad","0",""
"89","Apple","Quality is not good and very small in size.","0",""
"90","Apple","very sweet & worth buying tasty & juicy","1",""
"91","Apple","Apples are fabulous... ","1",""
"92","Apple","Fresh","1",""
"93","Apple","Very good quality","1",""
"94","Apple","A good product . Used it in making Fruit salad.","1",""
"95","Apple","Nice & Good.","1",""
